aligned_name,taxon_name,taxonomic_dataset,aligned_name_taxonomic_status,taxon_id,taxon_rank,taxonomic_status,family,taxon_distribution,establishment_means,scientific_name,scientific_name_id
Abelia x grandiflora,Abelia x grandiflora,APC,accepted,https://id.biodiversity.org.au/taxon/apni/51432945,Species,accepted,Caprifoliaceae,NSW (naturalised),naturalised,Abelia x grandiflora (Rovelli ex Andr̩) Rehder,https://id.biodiversity.org.au/name/apni/190758
Abelmoschus ficulneus,Abelmoschus ficulneus,APC,accepted,https://id.biodiversity.org.au/node/apni/2897916,Species,accepted,Malvaceae,"WA, NT, Qld",native,Abelmoschus ficulneus (L.) Wight,https://id.biodiversity.org.au/name/apni/55929
Abelmoschus manihot,Abelmoschus manihot,APC,accepted,https://id.biodiversity.org.au/node/apni/2901085,Species,accepted,Malvaceae,"ChI, NT, Qld (naturalised), NSW (doubtfully naturalised)",native and naturalised,Abelmoschus manihot (L.) Medik.,https://id.biodiversity.org.au/name/apni/55937
Abelmoschus manihot subsp. manihot,Abelmoschus manihot subsp. manihot,APC,accepted,https://id.biodiversity.org.au/node/apni/2917035,Subspecies,accepted,Malvaceae,"Qld (naturalised), NSW (doubtfully naturalised)",naturalised,Abelmoschus manihot (L.) Medik. subsp. manihot,https://id.biodiversity.org.au/name/apni/116920
Abelmoschus manihot subsp. tetraphyllus,Abelmoschus manihot subsp. tetraphyllus,APC,accepted,https://id.biodiversity.org.au/node/apni/2892917,Subspecies,accepted,Malvaceae,"ChI, Qld (naturalised)",native and naturalised,Abelmoschus manihot subsp. tetraphyllus (Roxb. ex Hornem.) Borss.Waalk.,https://id.biodiversity.org.au/name/apni/55945
Abelmoschus moschatus,Abelmoschus moschatus,APC,accepted,https://id.biodiversity.org.au/node/apni/2900572,Species,accepted,Malvaceae,"WA, NT, Qld, NSW (naturalised)",native and naturalised,Abelmoschus moschatus Medik.,https://id.biodiversity.org.au/name/apni/55953
Abelmoschus moschatus subsp. biakensis,Abelmoschus moschatus subsp. biakensis,APC,accepted,https://id.biodiversity.org.au/node/apni/2907435,Subspecies,accepted,Malvaceae,WA,native,Abelmoschus moschatus subsp. biakensis (Hochr.) Borss.Waalk.,https://id.biodiversity.org.au/name/apni/116595
Abelmoschus moschatus subsp. moschatus,Abelmoschus moschatus subsp. moschatus,APC,accepted,https://id.biodiversity.org.au/node/apni/2911283,Subspecies,accepted,Malvaceae,NSW (naturalised),naturalised,Abelmoschus moschatus Medik. subsp. moschatus,https://id.biodiversity.org.au/name/apni/243806
Abelmoschus moschatus subsp. tuberosus,Abelmoschus moschatus subsp. tuberosus,APC,accepted,https://id.biodiversity.org.au/node/apni/2919287,Subspecies,accepted,Malvaceae,"WA, NT, Qld",native,Abelmoschus moschatus subsp. tuberosus (Span.) Borss.Waalk.,https://id.biodiversity.org.au/name/apni/55961
Abildgaardia ovata,Abildgaardia ovata,APC,accepted,https://id.biodiversity.org.au/node/apni/2919627,Species,accepted,Cyperaceae,"NT, Qld, NSW",native,Abildgaardia ovata (Burm.f.) Kral,https://id.biodiversity.org.au/name/apni/150737
Abildgaardia vaginata,Abildgaardia vaginata,APC,accepted,https://id.biodiversity.org.au/node/apni/2899106,Species,accepted,Cyperaceae,"NT, Qld, NSW",native,Abildgaardia vaginata R.Br.,https://id.biodiversity.org.au/name/apni/56037
